function,dim,strategy1,strategy2,statistic,p_value,significant
ellipsoid,10,WeightedRankCenterStrategy,TrimmedMeanCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
ellipsoid,20,ArithmeticMeanCenterStrategy,MedianCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
ellipsoid,20,ArithmeticMeanCenterStrategy,WeightedFitnessCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
ellipsoid,20,ArithmeticMeanCenterStrategy,WeightedRankCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
ellipsoid,20,ArithmeticMeanCenterStrategy,TrimmedMeanCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
ellipsoid,20,MedianCenterStrategy,WeightedFitnessCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
ellipsoid,20,MedianCenterStrategy,WeightedRankCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
ellipsoid,20,MedianCenterStrategy,TrimmedMeanCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
ellipsoid,20,WeightedFitnessCenterStrategy,WeightedRankCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
ellipsoid,20,WeightedFitnessCenterStrategy,TrimmedMeanCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
ellipsoid,20,WeightedRankCenterStrategy,TrimmedMeanCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
ackley,2,ArithmeticMeanCenterStrategy,MedianCenterStrategy,21.0,0.000850677490234375,YES
ackley,2,ArithmeticMeanCenterStrategy,WeightedFitnessCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
ackley,2,ArithmeticMeanCenterStrategy,WeightedRankCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
ackley,2,ArithmeticMeanCenterStrategy,TrimmedMeanCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
ackley,2,MedianCenterStrategy,WeightedFitnessCenterStrategy,30.0,0.005107187870519105,YES
ackley,2,MedianCenterStrategy,WeightedRankCenterStrategy,7.0,3.62396240234375e-05,YES
ackley,2,MedianCenterStrategy,TrimmedMeanCenterStrategy,18.0,0.0004825592041015625,YES
ackley,2,WeightedFitnessCenterStrategy,WeightedRankCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
ackley,2,WeightedFitnessCenterStrategy,TrimmedMeanCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
ackley,2,WeightedRankCenterStrategy,TrimmedMeanCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
ackley,5,ArithmeticMeanCenterStrategy,MedianCenterStrategy,77.0,0.3117942810058594,NO
ackley,5,ArithmeticMeanCenterStrategy,WeightedFitnessCenterStrategy,27.0,0.0023250579833984375,YES
ackley,5,ArithmeticMeanCenterStrategy,WeightedRankCenterStrategy,20.0,0.0007076263427734375,YES
ackley,5,ArithmeticMeanCenterStrategy,TrimmedMeanCenterStrategy,56.0,0.069580078125,NO
ackley,5,MedianCenterStrategy,WeightedFitnessCenterStrategy,36.0,0.00830841064453125,YES
ackley,5,MedianCenterStrategy,WeightedRankCenterStrategy,21.0,0.000850677490234375,YES
ackley,5,MedianCenterStrategy,TrimmedMeanCenterStrategy,53.0,0.052201543701691125,NO
ackley,5,WeightedFitnessCenterStrategy,WeightedRankCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
ackley,5,WeightedFitnessCenterStrategy,TrimmedMeanCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
ackley,5,WeightedRankCenterStrategy,TrimmedMeanCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
ackley,10,ArithmeticMeanCenterStrategy,MedianCenterStrategy,22.0,0.0010166168212890625,YES
ackley,10,ArithmeticMeanCenterStrategy,WeightedFitnessCenterStrategy,96.0,0.7561664581298828,NO
ackley,10,ArithmeticMeanCenterStrategy,WeightedRankCenterStrategy,40.0,0.013616561889648438,YES
ackley,10,ArithmeticMeanCenterStrategy,TrimmedMeanCenterStrategy,98.0,0.8123550415039062,NO
ackley,10,MedianCenterStrategy,WeightedFitnessCenterStrategy,21.0,0.000850677490234375,YES
ackley,10,MedianCenterStrategy,WeightedRankCenterStrategy,0.0,1.9073486328125e-06,YES
ackley,10,MedianCenterStrategy,TrimmedMeanCenterStrategy,0.0,1.9073486328125e-06,YES
ackley,10,WeightedFitnessCenterStrategy,WeightedRankCenterStrategy,40.0,0.013616561889648438,YES
ackley,10,WeightedFitnessCenterStrategy,TrimmedMeanCenterStrategy,98.0,0.7938214901244397,NO
ackley,10,WeightedRankCenterStrategy,TrimmedMeanCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
ackley,20,ArithmeticMeanCenterStrategy,MedianCenterStrategy,0.0,1.9073486328125e-06,YES
ackley,20,ArithmeticMeanCenterStrategy,WeightedFitnessCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
ackley,20,ArithmeticMeanCenterStrategy,WeightedRankCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
ackley,20,ArithmeticMeanCenterStrategy,TrimmedMeanCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
ackley,20,MedianCenterStrategy,WeightedFitnessCenterStrategy,0.0,1.9073486328125e-06,YES
ackley,20,MedianCenterStrategy,WeightedRankCenterStrategy,0.0,1.9073486328125e-06,YES
ackley,20,MedianCenterStrategy,TrimmedMeanCenterStrategy,0.0,1.9073486328125e-06,YES
ackley,20,WeightedFitnessCenterStrategy,WeightedRankCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
ackley,20,WeightedFitnessCenterStrategy,TrimmedMeanCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
ackley,20,WeightedRankCenterStrategy,TrimmedMeanCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
schwefel,2,ArithmeticMeanCenterStrategy,MedianCenterStrategy,32.5,0.011890044684392302,YES
schwefel,2,ArithmeticMeanCenterStrategy,WeightedFitnessCenterStrategy,37.0,0.009435653686523438,YES
schwefel,2,ArithmeticMeanCenterStrategy,WeightedRankCenterStrategy,81.0,0.38837623596191406,NO
schwefel,2,ArithmeticMeanCenterStrategy,TrimmedMeanCenterStrategy,100.0,0.8694877624511719,NO
schwefel,2,MedianCenterStrategy,WeightedFitnessCenterStrategy,37.0,0.009435653686523438,YES
schwefel,2,MedianCenterStrategy,WeightedRankCenterStrategy,57.0,0.0758514404296875,NO
schwefel,2,MedianCenterStrategy,TrimmedMeanCenterStrategy,97.0,0.7841262817382812,NO
schwefel,2,WeightedFitnessCenterStrategy,WeightedRankCenterStrategy,37.0,0.009435653686523438,YES
schwefel,2,WeightedFitnessCenterStrategy,TrimmedMeanCenterStrategy,37.0,0.009435653686523438,YES
schwefel,2,WeightedRankCenterStrategy,TrimmedMeanCenterStrategy,100.0,0.8694877624511719,NO
schwefel,5,ArithmeticMeanCenterStrategy,MedianCenterStrategy,66.0,0.15364646911621094,NO
schwefel,5,ArithmeticMeanCenterStrategy,WeightedFitnessCenterStrategy,43.0,0.01923370361328125,YES
schwefel,5,ArithmeticMeanCenterStrategy,WeightedRankCenterStrategy,46.0,0.026641845703125,YES
schwefel,5,ArithmeticMeanCenterStrategy,TrimmedMeanCenterStrategy,59.0,0.08969497680664062,NO
schwefel,5,MedianCenterStrategy,WeightedFitnessCenterStrategy,43.0,0.01923370361328125,YES
schwefel,5,MedianCenterStrategy,WeightedRankCenterStrategy,57.0,0.0758514404296875,NO
schwefel,5,MedianCenterStrategy,TrimmedMeanCenterStrategy,61.0,0.10539817810058594,NO
schwefel,5,WeightedFitnessCenterStrategy,WeightedRankCenterStrategy,43.0,0.01923370361328125,YES
schwefel,5,WeightedFitnessCenterStrategy,TrimmedMeanCenterStrategy,43.0,0.01923370361328125,YES
schwefel,5,WeightedRankCenterStrategy,TrimmedMeanCenterStrategy,68.0,0.17685317993164062,NO
schwefel,10,ArithmeticMeanCenterStrategy,MedianCenterStrategy,16.0,0.0003223419189453125,YES
schwefel,10,ArithmeticMeanCenterStrategy,WeightedFitnessCenterStrategy,102.0,0.9272785186767578,NO
schwefel,10,ArithmeticMeanCenterStrategy,WeightedRankCenterStrategy,84.0,0.4523754119873047,NO
schwefel,10,ArithmeticMeanCenterStrategy,TrimmedMeanCenterStrategy,69.0,0.1893482208251953,NO
schwefel,10,MedianCenterStrategy,WeightedFitnessCenterStrategy,102.0,0.9272785186767578,NO
schwefel,10,MedianCenterStrategy,WeightedRankCenterStrategy,14.0,0.000209808349609375,YES
schwefel,10,MedianCenterStrategy,TrimmedMeanCenterStrategy,23.0,0.001209259033203125,YES
schwefel,10,WeightedFitnessCenterStrategy,WeightedRankCenterStrategy,103.0,0.956329345703125,NO
schwefel,10,WeightedFitnessCenterStrategy,TrimmedMeanCenterStrategy,102.0,0.9272785186767578,NO
schwefel,10,WeightedRankCenterStrategy,TrimmedMeanCenterStrategy,74.0,0.26109886169433594,NO
schwefel,20,ArithmeticMeanCenterStrategy,MedianCenterStrategy,92.0,0.6476554870605469,NO
schwefel,20,ArithmeticMeanCenterStrategy,WeightedFitnessCenterStrategy,82.0,0.40909767150878906,NO
schwefel,20,ArithmeticMeanCenterStrategy,WeightedRankCenterStrategy,93.0,0.6742229461669922,NO
schwefel,20,ArithmeticMeanCenterStrategy,TrimmedMeanCenterStrategy,62.0,0.11398696899414062,NO
schwefel,20,MedianCenterStrategy,WeightedFitnessCenterStrategy,82.0,0.40909767150878906,NO
schwefel,20,MedianCenterStrategy,WeightedRankCenterStrategy,95.0,0.7285060882568359,NO
schwefel,20,MedianCenterStrategy,TrimmedMeanCenterStrategy,69.0,0.1893482208251953,NO
schwefel,20,WeightedFitnessCenterStrategy,WeightedRankCenterStrategy,82.0,0.40909767150878906,NO
